title,price,brand,type,transmission,milage,fuel,location,years,milage_class
toyota rush,239000000,toyota,1.5 TRD Sportivo Bensin,Automatic,65.000-70.000,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",2019,14
toyota rush,231000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,65.000-70.000,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16422, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",2019,14
toyota rush,232000000,toyota,1.5 TRD Sportivo Bensin,Automatic,50.000-55.000,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",2019,11
toyota rush,198000000,toyota,1.5 G Bensin,Automatic,50.000-55.000,Bensin,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",2019,11
toyota rush,258000000,toyota,1.5 TRD Sportivo 7 Bensin,Manual,5.000-10.000,Bensin,"Mlati, Sleman Kab., Yogyakarta D.I.",2019,2
toyota rush,237000000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Mall Tamini Square Basement Zona D, Jl. Taman Mini I No.1, RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Pinang Ranti, Makasar, Jakarta Timur, DKI JakartaDapatkan petunjuk",2019,2
toyota rush,239999999,toyota,1.5 TRD Sportivo Bensin,Automatic,40.000-45.000,Bensin,"Tenggilis Mejoyo, Surabaya Kota, Jawa Timur",2019,9
toyota rush,236000000,toyota,1.5 TRD Sportivo Bensin,Automatic,40.000-45.000,Bensin,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",2019,9
toyota rush,246000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,35.000-40.000,Bensin,"Imogiri, Bantul Kab., Yogyakarta D.I.",2019,8
toyota rush,235000000,toyota,1.5 S Bensin,Automatic,35.000-40.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2019,8
toyota rush,239000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,30.000-35.000,Bensin,"Regol, Bandung Kota, Jawa Barat",2019,7
toyota rush,229000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",2019,7
