title,price,brand,type,years,milage,location,vehicle_type,url,transmission,fuel
ULTIMATE AT,223000000.0,,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-45jt-xpander-ultimate-at-2019-automatic-iid-866088390,,
mitsubishi xpander,225000000.0,mitsubishi,xpander,2018.0,70000,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866086642,Otomatis,Bensin
mitsubishi xpander,222000000.0,mitsubishi,xpander,2019.0,35.000-40.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-limited-at-2019-plat-genap-iid-866079707,Automatic,Bensin
Cross Premium Package Bensin,291500000.0,,,1.0,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-at-premium-2021-putih-mutiara-metalik-iid-866072192,,
mitsubishi xpander,225000000.0,mitsubishi,xpander,2018.0,70000,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866086642,Otomatis,Bensin
mitsubishi xpander,222000000.0,mitsubishi,xpander,2019.0,35.000-40.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-limited-at-2019-plat-genap-iid-866079707,Automatic,Bensin
Cross Premium Package Bensin,291500000.0,,,1.0,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-at-premium-2021-putih-mutiara-metalik-iid-866072192,,
mitsubishi xpander,209000000.0,mitsubishi,xpander,2019.0,70000,"Gambir, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/promo-mitsubishi-xpander-ultimate-at-2019-iid-866046161,Otomatis,Bensin
Ultimate Bensin,211000000.0,,,1.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2018-bensin-iid-866041837,,
Ultimate Bensin,225000000.0,,,1.0,,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-mitsubishi-xpander-15-ultimate-at-2019-silver-iid-866031253,,
Ultimate Bensin,240000000.0,,,1.0,,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-40rb-mitsubishi-xpander-ultimate-limited-at-2019-iid-866025673,,
Ultimate Bensin,205000000.0,,,1.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-15-ultimate-at-2018-termurah-se-olx-iid-866024752,,
mitsubishi xpander,215000000.0,mitsubishi,xpander,2019.0,40.000-45.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-2019-at-paling-murah-kredit-tdp-minim-iid-866013831,Automatic,Bensin
Sport Bensin,215000000.0,,,1.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-sport-warna-putih-iid-863176484,,
mitsubishi xpander,246000000.0,mitsubishi,xpander,2019.0,65.000-70.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/dijual-mitsubishi-xpander-ultimate-15-matic-2019-iid-865983937,Automatic,Bensin
Cross Premium Package Bensin,288800000.0,,,1.0,,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-premium-202105-km-low-14rban-asli-like-new-iid-865982729,,
mitsubishi xpander,258600000.0,mitsubishi,xpander,2021.0,10.000-15.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-at-white-2021-iid-865978150,Automatic,Bensin
Ultimate Bensin,230000000.0,,,1.0,,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/dijual-mobil-mitsubishi-xpander-ultimate-at-iid-862828589,,
mitsubishi xpander,227000000.0,mitsubishi,xpander,2019.0,25.000-30.000,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-iid-865955650,Automatic,Bensin
mitsubishi xpander,239000000.0,mitsubishi,xpander,2019.0,30.000-35.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-2019-at-iid-865925219,Automatic,Bensin
Sport Bensin,222000000.0,,,1.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-15-sport-manual-2019-iid-865898787,,
mitsubishi xpander,263500000.0,mitsubishi,xpander,2021.0,0-5.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-15-mt-black-2021-iid-865883868,Manual,Bensin
mitsubishi xpander,220000000.0,mitsubishi,xpander,2018.0,60.000-65.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-at-2018-iid-865879892,Automatic,Bensin
mitsubishi xpander,240000000.0,mitsubishi,xpander,2019.0,40000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-limited-at-2019-iid-865866336,Otomatis,Bensin
mitsubishi xpander,212000000.0,mitsubishi,xpander,2018.0,50.000-55.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-2018-very-good-condotion-iid-865866252,Automatic,Bensin
mitsubishi xpander,268300000.0,mitsubishi,xpander,2021.0,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-15-mt-black-2021-iid-865861902,Manual,Bensin
Cross Bensin,257500000.0,,,1.0,,"Menteng, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km5rbxpander-cross-2021-mt-mitsubishi-expander-ekspander-premium-2020-iid-865843568,,
Sport Bensin,200000000.0,,,1.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2017-bensin-iid-865813589,,
mitsubishi xpander,217500000.0,mitsubishi,xpander,2019.0,50000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-iid-865808830,Otomatis,Bensin
mitsubishi xpander,235000000.0,mitsubishi,xpander,2019.0,25.000-30.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-at-2019-matic-silver-boleh-tukar-tambah-avanza-iid-865800131,Automatic,Bensin
mitsubishi xpander,239000000.0,mitsubishi,xpander,2019.0,30.000-35.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-at-2019-abu-abu-pjk-super-panjang-iid-865775159,Automatic,Bensin
Cross Bensin,267000000.0,,,1.0,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp-18jt-pake-motor-mitsubishi-xpander-cross-2020-siap-tkr-tambah-iid-865774151,,
mitsubishi xpander,267000000.0,mitsubishi,xpander,2020.0,15.000-20.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/2020-xpander-cross-15at-km-18rb-plat-ganjil-dp-ceper-bisa-pakai-motor-iid-865762839,Automatic,Bensin
mitsubishi xpander,307100000.0,mitsubishi,xpander,2022.0,0-5.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/mobil-baru-promo-dp-murah-xpander-ultimate-iid-865758332,Automatic,Bensin
mitsubishi xpander,230000000.0,mitsubishi,xpander,2018.0,20.000-25.000,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-at-2018-iid-865746944,Automatic,Bensin
ULTIMATE AT,193000000.0,,,,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-2018-matic-free-jasa-servis-1-tahun-iid-865742184,,
Exceed Bensin,197000000.0,,,1.0,,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-exceed-at-2018-iid-865672162,,
,,,,,,,car,https://www.olx.co.id/item/olx-autos-mitsubishi-xpander-15-exceed-bensin-mt-2018-silver-iid-865662811,,
GLS MT,170000000.0,,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-gls-mt-2018-garansi-1-tahun-iid-865660337,,
mitsubishi xpander,175000000.0,mitsubishi,xpander,2018.0,70.000-75.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-gls-15-at-2018-iid-865659226,Automatic,Bensin
mitsubishi xpander,220000000.0,mitsubishi,xpander,2019.0,20000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-sport-at-2019-iid-865656958,Otomatis,Bensin
mitsubishi xpander,258600000.0,mitsubishi,xpander,2021.0,20000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimatr-2021-bensin-iid-865639466,Otomatis,Bensin
Ultimate Bensin,210000000.0,,,1.0,,"Danau Paris, Aceh Singkil Kab., Aceh D.I.",car,https://www.olx.co.id/item/dijual-cepat-mitsubishi-xpander-ultimate-at-2018-km-antik-gress-abis-iid-865639111,,
